Best,Worst,Mean
202,190,192.4
204,190,196.5
204,190,198.1
204,190,197.7
204,190,197.9
203,190,197.5
204,190,200.6
204,190,199.3
203,190,198.6
204,190,198.0
204,190,196.5
204,190,195.4
204,190,196.7
203,190,193.8
204,190,195.4
204,190,194.1
203,190,195.1
204,190,195.4
202,190,191.2
204,190,196.5
204,190,194.2
204,190,195.2
202,190,191.2
204,190,194.0
203,190,191.3
190,190,190.0
204,190,192.6
203,190,191.3
204,190,191.4
190,190,190.0
204,190,191.4
204,190,193.9
204,190,193.9
204,190,195.2
204,190,194.0
204,190,196.6
204,190,198.1
321,190,211.1
204,190,197.9
204,190,201.7
321,202,215.3
204,190,200.1
204,202,203.0
204,190,201.8
204,190,200.2
204,202,202.8
204,202,202.8
204,202,203.0
204,190,201.7
204,190,202.1
204,202,203.0
204,202,203.1
204,202,202.9
204,190,200.5
204,190,199.0
204,190,196.4
204,190,195.2
204,190,195.5
204,190,197.9
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
